date,account,asset_symbol,asset_type,sector,units_held,unit_price,market_value,roi,dividend,annualized_roi,holding_days
2023-12-26,Account A,GOOGL,mutual fund,Healthcare,28.28,1407.42,39801.84,0.15,2.85,15.0,518
2023-05-12,Account A,GOOGL,crypto,Consumer,5.76,941.76,5424.54,0.3,0.0,30.0,746
2023-02-15,Account A,GOOGL,crypto,Finance,7.86,801.58,6300.42,0.24,0.0,24.0,832
2023-03-20,Account A,GOOGL,crypto,Consumer,37.3,1060.67,39562.99,0.15,0.0,15.0,799
2023-07-17,Account A,GOOGL,stock,Consumer,18.62,475.71,8857.72,0.2,4.05,20.0,680
2023-04-19,Account A,GOOGL,crypto,Healthcare,43.49,1374.2,59763.96,0.06,0.0,6.0,769
2023-12-28,Account A,GOOGL,crypto,Healthcare,25.57,1207.53,30876.54,0.12,0.0,12.0,516
2023-02-10,Account A,GOOGL,mutual fund,Consumer,35.4,1203.9,42618.06,0.25,1.69,25.0,837
2023-11-11,Account A,GOOGL,stock,Energy,19.4,186.27,3613.64,0.09,0.18,9.0,563
2023-04-04,Account A,GOOGL,crypto,Consumer,23.81,836.83,19924.92,-0.06,0.0,-6.0,784
2023-08-26,Account A,GOOGL,mutual fund,Tech,29.95,94.23,2822.19,-0.18,4.11,-18.0,640
2023-12-17,Account A,GOOGL,crypto,Healthcare,18.65,234.24,4368.58,0.06,0.0,6.0,527
2023-03-21,Account A,GOOGL,mutual fund,Consumer,38.73,362.94,14056.67,0.11,0.43,11.0,798
2023-03-14,Account A,GOOGL,stock,Energy,3.53,820.46,2896.22,0.07,3.19,7.000000000000001,805
2023-11-14,Account A,GOOGL,mutual fund,Finance,36.58,1464.99,53589.33,0.06,1.61,6.0,560
2023-05-25,Account A,GOOGL,mutual fund,Finance,39.96,442.71,17690.69,0.02,0.39,2.0,733
2023-10-06,Account A,GOOGL,crypto,Consumer,2.24,1445.84,3238.68,0.22,0.0,22.0,599
2023-06-28,Account A,GOOGL,stock,Healthcare,35.1,642.98,22568.6,-0.11,0.78,-11.0,699
2023-02-06,Account A,GOOGL,stock,Consumer,13.26,846.38,11223.0,0.16,3.3,16.0,841
2023-12-11,Account A,GOOGL,stock,Energy,14.72,1434.55,21116.58,0.17,2.77,17.0,533
2023-07-18,Account A,GOOGL,mutual fund,Tech,30.97,658.42,20391.27,-0.08,1.78,-8.0,679
2023-03-19,Account A,GOOGL,crypto,Healthcare,38.13,70.87,2702.27,-0.14,0.0,-14.000000000000002,800
2023-12-19,Account A,GOOGL,stock,Finance,3.25,109.06,354.44,0.23,3.52,23.0,525
2023-09-27,Account A,GOOGL,mutual fund,Tech,24.23,191.86,4648.77,0.05,2.37,5.0,608
2023-07-30,Account A,GOOGL,stock,Healthcare,9.49,679.08,6444.47,-0.0,3.08,-0.0,667
2023-01-08,Account A,GOOGL,crypto,Energy,32.12,115.69,3715.96,-0.01,0.0,-1.0,870
2023-07-21,Account A,GOOGL,mutual fund,Tech,31.67,779.55,24688.35,0.23,3.29,23.0,676
2023-04-16,Account A,GOOGL,stock,Consumer,8.98,152.32,1367.83,0.12,0.13,12.0,772
2023-10-22,Account A,GOOGL,stock,Healthcare,29.7,1413.33,41975.9,0.09,1.94,9.0,583
2023-08-29,Account A,GOOGL,mutual fund,Finance,32.52,714.47,23234.56,0.07,4.71,7.000000000000001,637
2023-02-07,Account A,GOOGL,stock,Tech,19.92,1443.73,28759.1,0.25,0.98,25.0,840
2023-09-17,Account A,GOOGL,mutual fund,Finance,4.4,196.13,862.97,-0.19,0.47,-19.0,618
2023-10-17,Account A,GOOGL,mutual fund,Finance,34.47,153.22,5281.49,-0.04,4.22,-4.0,588
2023-03-24,Account A,GOOGL,crypto,Finance,2.14,1230.98,2634.3,-0.06,0.0,-6.0,795
2023-07-25,Account A,GOOGL,crypto,Healthcare,6.79,1060.27,7199.23,0.11,0.0,11.0,672
2023-11-23,Account A,GOOGL,crypto,Energy,44.0,1115.85,49097.4,0.2,0.0,20.0,551
2023-10-11,Account A,GOOGL,crypto,Energy,14.82,307.29,4554.04,0.18,0.0,18.0,594
2023-06-22,Account A,GOOGL,crypto,Consumer,40.53,1486.23,60236.9,0.01,0.0,1.0,705
2023-08-24,Account A,GOOGL,crypto,Tech,19.23,1175.8,22610.63,-0.03,0.0,-3.0,642
2023-05-01,Account A,GOOGL,stock,Finance,46.61,1294.7,60345.97,0.01,3.75,1.0,757
2023-07-04,Account A,GOOGL,mutual fund,Finance,37.97,199.53,7576.15,0.25,2.53,25.0,693
2023-05-30,Account A,GOOGL,mutual fund,Energy,41.5,514.07,21333.91,0.25,1.95,25.0,728
2023-08-23,Account A,GOOGL,crypto,Consumer,1.53,1362.8,2085.08,-0.15,0.0,-15.0,643
2023-11-08,Account A,GOOGL,mutual fund,Finance,16.65,1427.59,23769.37,0.28,2.87,28.000000000000004,566
2023-02-26,Account A,GOOGL,crypto,Finance,31.96,700.25,22379.99,-0.05,0.0,-5.0,821
2023-09-23,Account A,GOOGL,mutual fund,Finance,17.1,1025.15,17530.07,0.18,3.96,18.0,612
2023-02-17,Account A,GOOGL,stock,Healthcare,39.69,182.25,7233.5,0.05,0.29,5.0,830
2023-03-15,Account A,GOOGL,mutual fund,Healthcare,27.93,690.22,19277.84,0.24,1.75,24.0,804
2023-06-18,Account A,GOOGL,mutual fund,Tech,6.74,257.34,1734.47,0.18,3.09,18.0,709
2023-10-04,Account A,JNJ,mutual fund,Consumer,5.96,171.95,1024.82,0.15,0.36,15.0,601
2023-04-07,Account A,JNJ,stock,Tech,41.27,1074.05,44326.04,-0.16,0.42,-16.0,781
2023-11-27,Account A,JNJ,mutual fund,Healthcare,49.35,592.69,29249.25,-0.01,4.06,-1.0,547
2023-12-21,Account A,JNJ,mutual fund,Tech,47.42,1479.7,70167.37,0.18,1.88,18.0,523
2023-12-17,Account A,JNJ,crypto,Consumer,5.09,1176.86,5990.22,0.08,0.0,8.0,527
2023-04-22,Account A,JNJ,stock,Healthcare,21.79,1364.21,29726.14,-0.14,2.46,-14.000000000000002,766
2023-03-23,Account A,JNJ,stock,Tech,1.56,729.56,1138.11,-0.17,0.59,-17.0,796
2023-01-30,Account A,JNJ,mutual fund,Consumer,6.76,991.35,6701.53,0.17,2.92,17.0,848
2023-01-19,Account A,JNJ,stock,Consumer,48.15,593.56,28579.91,-0.06,4.34,-6.0,859
2023-07-12,Account A,JNJ,mutual fund,Finance,11.96,1446.67,17302.17,-0.19,4.85,-19.0,685
2023-01-10,Account A,JNJ,mutual fund,Energy,3.11,1342.16,4174.12,0.06,4.96,6.0,868
2023-02-27,Account A,JNJ,crypto,Consumer,4.62,853.09,3941.28,0.28,0.0,28.000000000000004,820
2023-07-13,Account A,JNJ,crypto,Finance,26.63,962.63,25634.84,0.15,0.0,15.0,684
2023-09-27,Account A,JNJ,crypto,Consumer,23.27,959.96,22338.27,0.09,0.0,9.0,608
2023-04-14,Account A,JNJ,mutual fund,Healthcare,45.16,115.9,5234.04,-0.06,4.75,-6.0,774
2023-12-29,Account A,JNJ,stock,Consumer,44.62,710.7,31711.43,0.11,1.39,11.0,515
2023-03-28,Account A,JNJ,stock,Healthcare,10.22,722.36,7382.52,-0.02,2.92,-2.0,791
2023-07-22,Account A,JNJ,crypto,Healthcare,4.81,1462.87,7036.4,0.29,0.0,28.999999999999996,675
2023-05-09,Account A,JNJ,crypto,Tech,35.21,827.34,29130.64,-0.05,0.0,-5.0,749
2023-12-28,Account A,JNJ,stock,Tech,40.88,1042.86,42632.12,-0.12,4.55,-12.0,516
2023-11-26,Account A,JNJ,stock,Consumer,41.3,1427.21,58943.77,0.16,3.07,16.0,548
2023-05-21,Account A,JNJ,stock,Consumer,21.49,1402.46,30138.87,0.23,0.23,23.0,737
2023-09-17,Account A,JNJ,crypto,Tech,2.29,595.87,1364.54,0.21,0.0,21.0,618
2023-09-23,Account A,JNJ,crypto,Healthcare,49.38,268.1,13238.78,0.1,0.0,10.0,612
2023-04-20,Account A,JNJ,mutual fund,Tech,19.66,1456.38,28632.43,0.22,4.19,22.0,768
2023-08-09,Account A,JNJ,mutual fund,Consumer,23.97,651.49,15616.22,-0.06,0.28,-6.0,657
2023-06-08,Account A,JNJ,crypto,Finance,43.37,1228.71,53289.15,0.3,0.0,30.0,719
2023-06-20,Account A,JNJ,stock,Tech,49.84,855.38,42632.14,0.18,4.72,18.0,707
2023-06-15,Account A,JNJ,stock,Tech,42.63,408.65,17420.75,0.03,0.65,3.0,712
2023-07-29,Account A,JNJ,stock,Healthcare,47.75,928.95,44357.36,-0.09,3.36,-9.0,668
2023-12-24,Account A,JNJ,mutual fund,Finance,31.29,569.34,17814.65,-0.14,3.36,-14.000000000000002,520
2023-07-27,Account A,JNJ,stock,Tech,26.5,1169.86,31001.29,0.06,4.26,6.0,670
2023-07-26,Account A,JNJ,stock,Tech,28.04,863.36,24208.61,0.24,2.02,24.0,671
2023-04-24,Account A,JNJ,crypto,Energy,7.57,91.73,694.4,0.18,0.0,18.0,764
2023-09-08,Account A,JNJ,crypto,Healthcare,31.4,1070.92,33626.89,-0.09,0.0,-9.0,627
2023-07-11,Account A,JNJ,mutual fund,Consumer,7.68,71.09,545.97,-0.02,2.95,-2.0,686
2023-07-23,Account A,JNJ,crypto,Healthcare,20.22,684.34,13837.35,0.25,0.0,25.0,674
2023-07-15,Account A,JNJ,stock,Healthcare,18.06,795.28,14362.76,0.19,1.98,19.0,682
2023-01-18,Account A,JNJ,stock,Energy,31.48,1300.43,40937.54,0.27,0.74,27.0,860
2023-01-14,Account A,JNJ,stock,Energy,46.4,763.57,35429.65,-0.07,2.3,-7.000000000000001,864
2023-08-15,Account A,JNJ,mutual fund,Energy,49.02,764.3,37465.99,-0.04,3.17,-4.0,651
2023-01-28,Account A,JNJ,crypto,Healthcare,12.77,160.0,2043.2,-0.14,0.0,-14.000000000000002,850
2023-04-08,Account A,JNJ,crypto,Finance,7.27,270.26,1964.79,-0.13,0.0,-13.0,780
2023-03-16,Account A,JNJ,mutual fund,Energy,32.4,313.73,10164.85,-0.03,4.48,-3.0,803
2023-10-08,Account A,JNJ,stock,Consumer,24.22,1017.96,24654.99,-0.11,0.96,-11.0,597
2023-12-04,Account A,JNJ,mutual fund,Healthcare,3.0,294.96,884.88,-0.06,0.89,-6.0,540
2023-12-10,Account A,JNJ,stock,Finance,5.35,224.92,1203.32,0.03,1.03,3.0,534
2023-03-05,Account A,JNJ,mutual fund,Healthcare,18.85,779.96,14702.25,0.15,0.2,15.0,814
2023-10-27,Account A,JNJ,mutual fund,Energy,40.17,960.46,38581.68,-0.16,4.37,-16.0,578
2023-11-24,Account A,JNJ,mutual fund,Energy,46.12,138.56,6390.39,-0.06,4.03,-6.0,550
2023-08-10,Account A,JNJ,mutual fund,Healthcare,37.66,317.56,11959.31,-0.1,1.85,-10.0,656
2023-05-16,Account A,JNJ,mutual fund,Consumer,24.74,946.47,23415.67,-0.02,2.31,-2.0,742
2023-09-20,Account A,JNJ,crypto,Finance,37.63,103.19,3883.04,-0.07,0.0,-7.000000000000001,615
2023-10-02,Account A,JNJ,mutual fund,Finance,35.95,1348.05,48462.4,0.06,2.66,6.0,603
2023-04-28,Account A,JNJ,crypto,Healthcare,6.25,698.75,4367.19,0.07,0.0,7.000000000000001,760
2023-08-20,Account A,JNJ,crypto,Energy,12.88,440.4,5672.35,-0.01,0.0,-1.0,646
2023-10-31,Account A,JNJ,crypto,Finance,1.98,517.01,1023.68,-0.09,0.0,-9.0,574
2023-02-24,Account A,JNJ,mutual fund,Consumer,17.05,223.66,3813.4,0.25,2.97,25.0,823
2023-01-07,Account A,JNJ,mutual fund,Energy,34.28,1194.3,40940.6,0.05,0.43,5.0,871
2023-10-01,Account A,JNJ,crypto,Finance,27.32,900.92,24613.13,0.17,0.0,17.0,604
2023-10-04,Account A,XOM,mutual fund,Consumer,22.15,234.99,5205.03,-0.06,1.82,-6.0,601
2023-05-21,Account A,XOM,mutual fund,Finance,32.65,877.63,28654.62,-0.02,4.93,-2.0,737
2023-08-13,Account A,XOM,stock,Consumer,30.68,393.98,12087.31,-0.15,0.76,-15.0,653
2023-10-29,Account A,XOM,mutual fund,Tech,13.05,282.99,3693.02,-0.11,1.43,-11.0,576
2023-05-18,Account A,XOM,crypto,Healthcare,9.5,1350.31,12827.94,-0.16,0.0,-16.0,740
2023-10-17,Account A,XOM,mutual fund,Consumer,26.7,645.08,17223.64,0.29,0.56,28.999999999999996,588
2023-12-31,Account A,XOM,crypto,Healthcare,20.49,1455.73,29827.91,0.23,0.0,23.0,513
2023-08-06,Account A,XOM,stock,Healthcare,41.04,423.96,17399.32,-0.11,3.34,-11.0,660
2023-05-24,Account A,XOM,mutual fund,Consumer,46.54,857.31,39899.21,0.09,1.4,9.0,734
2023-09-17,Account A,XOM,crypto,Consumer,38.71,321.21,12434.04,-0.04,0.0,-4.0,618
2023-09-09,Account A,XOM,mutual fund,Finance,21.85,786.04,17174.97,-0.08,0.57,-8.0,626
2023-02-11,Account A,XOM,stock,Consumer,30.92,468.51,14486.33,0.09,0.77,9.0,836
2023-06-12,Account A,XOM,mutual fund,Energy,24.58,822.25,20210.9,-0.17,1.68,-17.0,715
2023-11-29,Account A,XOM,mutual fund,Consumer,7.59,141.89,1076.95,0.29,1.61,28.999999999999996,545
2023-09-18,Account A,XOM,stock,Energy,40.68,419.23,17054.28,0.14,3.8,14.000000000000002,617
2023-02-10,Account A,XOM,mutual fund,Consumer,30.19,733.79,22153.12,0.01,1.74,1.0,837
2023-10-08,Account A,XOM,mutual fund,Energy,46.55,1254.4,58392.32,0.28,0.62,28.000000000000004,597
2023-11-07,Account A,XOM,mutual fund,Tech,36.81,1410.59,51923.82,-0.11,0.33,-11.0,567
2023-04-05,Account A,XOM,crypto,Healthcare,37.31,882.99,32944.36,0.22,0.0,22.0,783
2023-09-11,Account A,XOM,crypto,Finance,7.85,1203.14,9444.65,-0.1,0.0,-10.0,624
2023-12-28,Account A,XOM,crypto,Tech,9.02,288.19,2599.47,0.21,0.0,21.0,516
2023-10-07,Account A,XOM,crypto,Consumer,33.59,808.44,27155.5,-0.02,0.0,-2.0,598
2023-07-05,Account A,XOM,stock,Consumer,43.98,619.05,27225.82,0.21,2.2,21.0,692
2023-07-02,Account A,XOM,stock,Energy,19.47,720.89,14035.73,-0.05,3.74,-5.0,695
2023-01-03,Account A,XOM,stock,Consumer,25.63,386.71,9911.38,0.25,1.92,25.0,875
2023-05-08,Account A,XOM,mutual fund,Finance,27.63,1364.38,37697.82,0.11,0.58,11.0,750
2023-04-23,Account A,XOM,mutual fund,Finance,47.05,960.18,45176.47,-0.03,0.7,-3.0,765
2023-08-20,Account A,XOM,mutual fund,Healthcare,39.91,949.11,37878.98,0.07,4.47,7.000000000000001,646
2023-09-05,Account A,XOM,stock,Consumer,39.64,269.93,10700.03,-0.04,1.24,-4.0,630
2023-11-02,Account A,XOM,stock,Healthcare,37.45,98.62,3693.32,0.08,3.81,8.0,572
2023-10-13,Account A,XOM,stock,Healthcare,43.96,546.02,24003.04,0.21,0.55,21.0,592
2023-10-02,Account A,XOM,crypto,Tech,42.48,234.86,9976.85,-0.0,0.0,-0.0,603
2023-02-24,Account A,XOM,mutual fund,Consumer,40.07,267.38,10713.92,-0.09,3.61,-9.0,823
2023-05-31,Account A,XOM,crypto,Healthcare,36.28,979.66,35542.06,0.15,0.0,15.0,727
2023-12-02,Account A,XOM,mutual fund,Consumer,27.59,415.11,11452.88,-0.03,0.91,-3.0,542
2023-04-27,Account A,XOM,crypto,Finance,45.51,895.92,40773.32,0.0,0.0,0.0,761
2023-03-20,Account A,XOM,mutual fund,Finance,23.64,1423.56,33652.96,-0.12,2.93,-12.0,799
2023-10-14,Account A,XOM,crypto,Finance,25.79,936.61,24155.17,-0.19,0.0,-19.0,591
2023-03-07,Account A,XOM,mutual fund,Finance,43.73,1401.57,61290.66,0.08,3.48,8.0,812
2023-09-13,Account A,XOM,crypto,Tech,46.2,1075.5,49688.1,-0.12,0.0,-12.0,622
2023-11-03,Account A,XOM,mutual fund,Finance,29.24,929.74,27185.6,0.01,3.68,1.0,571
2023-09-01,Account A,XOM,crypto,Healthcare,46.78,1392.07,65121.03,0.03,0.0,3.0,634
2023-07-30,Account A,XOM,mutual fund,Tech,6.55,1478.02,9681.03,0.22,0.62,22.0,667
2023-09-22,Account A,XOM,crypto,Tech,46.12,1311.35,60479.46,0.06,0.0,6.0,613
2023-12-12,Account A,XOM,crypto,Tech,29.97,628.55,18837.64,-0.17,0.0,-17.0,532
2023-05-15,Account A,XOM,stock,Consumer,17.42,1214.14,21150.32,-0.2,1.67,-20.0,743
2023-01-11,Account A,XOM,crypto,Energy,20.51,829.22,17007.3,0.26,0.0,26.0,867
2023-11-15,Account A,XOM,mutual fund,Consumer,17.97,553.08,9938.85,0.17,2.26,17.0,559
2023-03-21,Account A,XOM,stock,Healthcare,12.01,706.04,8479.54,-0.13,0.88,-13.0,798
2023-01-02,Account A,XOM,mutual fund,Finance,25.42,657.44,16712.12,0.26,1.81,26.0,876
2023-03-16,Account A,XOM,stock,Healthcare,29.45,966.78,28471.67,-0.19,3.32,-19.0,803
2023-01-29,Account A,XOM,crypto,Tech,9.72,1443.55,14031.31,-0.13,0.0,-13.0,849
2023-06-08,Account A,XOM,crypto,Healthcare,21.32,173.76,3704.56,0.3,0.0,30.0,719
2023-12-06,Account A,XOM,mutual fund,Consumer,25.61,913.31,23389.87,-0.17,3.75,-17.0,538
2023-10-22,Account A,XOM,mutual fund,Consumer,11.29,1352.18,15266.11,-0.1,0.95,-10.0,583
2023-04-18,Account A,XOM,crypto,Energy,2.79,734.5,2049.26,0.08,0.0,8.0,770
2023-06-27,Account A,XOM,stock,Healthcare,4.22,1174.52,4956.47,0.03,2.62,3.0,700
2023-12-22,Account A,XOM,crypto,Energy,22.6,631.11,14263.09,0.08,0.0,8.0,522
2023-02-14,Account A,XOM,stock,Tech,8.61,313.8,2701.82,0.23,4.73,23.0,833
2023-07-10,Account A,XOM,crypto,Tech,19.29,442.58,8537.37,0.12,0.0,12.0,687
2023-07-21,Account A,TSLA,stock,Tech,21.03,86.81,1825.61,-0.12,3.58,-12.0,676
2023-03-04,Account A,TSLA,stock,Finance,33.29,89.29,2972.46,-0.09,1.16,-9.0,815
2023-05-31,Account A,TSLA,mutual fund,Consumer,33.92,78.58,2665.43,-0.15,4.0,-15.0,727
2023-07-09,Account A,TSLA,mutual fund,Tech,9.75,996.48,9715.68,-0.08,0.5,-8.0,688
2023-01-24,Account A,TSLA,stock,Energy,12.92,1097.29,14176.99,0.23,4.15,23.0,854
2023-06-04,Account A,TSLA,stock,Consumer,20.46,1018.72,20843.01,-0.1,1.47,-10.0,723
2023-04-15,Account A,TSLA,stock,Energy,44.92,68.85,3092.74,-0.16,1.04,-16.0,773
2023-02-06,Account A,TSLA,crypto,Energy,2.3,313.08,720.08,0.09,0.0,9.0,841
2023-09-30,Account A,TSLA,stock,Healthcare,21.65,1344.37,29105.61,0.21,1.71,21.0,605
2023-05-14,Account A,TSLA,stock,Finance,13.71,600.55,8233.54,0.1,1.34,10.0,744
2023-06-19,Account A,TSLA,mutual fund,Consumer,31.58,643.65,20326.47,0.08,2.18,8.0,708
2023-03-03,Account A,TSLA,stock,Finance,15.43,1425.26,21991.76,0.18,0.7,18.0,816
2023-05-05,Account A,TSLA,stock,Healthcare,43.55,756.78,32957.77,0.25,4.0,25.0,753
2023-10-05,Account A,TSLA,mutual fund,Consumer,21.84,82.58,1803.55,-0.07,2.71,-7.000000000000001,600
2023-04-10,Account A,TSLA,crypto,Finance,32.04,423.94,13583.04,-0.13,0.0,-13.0,778
2023-10-11,Account A,TSLA,crypto,Healthcare,41.91,1477.38,61917.0,0.06,0.0,6.0,594
2023-09-02,Account A,TSLA,crypto,Tech,9.41,444.85,4186.04,-0.19,0.0,-19.0,633
2023-04-22,Account A,TSLA,mutual fund,Finance,45.8,220.74,10109.89,0.09,1.37,9.0,766
2023-07-24,Account A,TSLA,crypto,Tech,28.15,994.56,27996.86,0.21,0.0,21.0,673
